word,occurrence,percentage,cumulative
nooit,93,0.00062,0.4374330000000001
kinderen,93,0.00062,0.43805300000000014
telegraaf,93,0.00062,0.43867300000000015
tijdens,93,0.00062,0.43929300000000016
zelf,92,0.000613,0.43990600000000013
15,90,0.0006,0.4405060000000001
nieuws,89,0.000593,0.44109900000000013
want,89,0.000593,0.44169200000000014
leven,89,0.000593,0.44228500000000015
tweet,88,0.000587,0.44287200000000015
zie,88,0.000587,0.44345900000000016
werd,87,0.00058,0.4440390000000002
mag,87,0.00058,0.4446190000000002
had,87,0.00058,0.44519900000000023
nl,86,0.000573,0.4457720000000002
land,85,0.000567,0.4463390000000002
laat,85,0.000567,0.4469060000000002
zal,85,0.000567,0.4474730000000002
10,84,0.00056,0.4480330000000002
12,83,0.000553,0.4485860000000002
twee,83,0.000553,0.44913900000000023
allemaal,82,0.000547,0.44968600000000025
afgelopen,81,0.00054,0.45022600000000024
wind,81,0.00054,0.4507660000000002
laatste,80,0.000533,0.4512990000000002
zonder,80,0.000533,0.45183200000000023
verder,80,0.000533,0.45236500000000024
hem,80,0.000533,0.45289800000000024
open,79,0.000527,0.45342500000000024
kijk,79,0.000527,0.45395200000000024
00,79,0.000527,0.45447900000000024
nodig,78,0.00052,0.45499900000000026
zit,77,0.000513,0.45551200000000025
20,77,0.000513,0.45602500000000024
13,77,0.000513,0.4565380000000002
30,77,0.000513,0.4570510000000002
werk,77,0.000513,0.4575640000000002
geld,76,0.000507,0.4580710000000002
doet,76,0.000507,0.45857800000000015
rusland,76,0.000507,0.45908500000000013
weten,75,0.0005,0.45958500000000013
bijna,75,0.0005,0.46008500000000013
vanaf,74,0.000493,0.46057800000000015
lekker,74,0.000493,0.4610710000000002
mooie,74,0.000493,0.4615640000000002
grote,74,0.000493,0.4620570000000002
keer,74,0.000493,0.46255000000000024
zegt,74,0.000493,0.46304300000000026
iedereen,73,0.000487,0.4635300000000003
laten,73,0.000487,0.4640170000000003
den,72,0.00048,0.46449700000000027
krijgen,71,0.000473,0.46497000000000027
beste,71,0.000473,0.4654430000000003
zoals,71,0.000473,0.4659160000000003
wanneer,71,0.000473,0.4663890000000003
kabinet,71,0.000473,0.4668620000000003
volgens,71,0.000473,0.4673350000000003
drie,71,0.000473,0.4678080000000003
elkaar,69,0.00046,0.4682680000000003
zeggen,69,0.00046,0.4687280000000003
hele,69,0.00046,0.4691880000000003
maakt,68,0.000453,0.4696410000000003
i,68,0.000453,0.4700940000000003
tussen,68,0.000453,0.47054700000000027
anders,67,0.000447,0.47099400000000025
amsterdam,67,0.000447,0.4714410000000002
helemaal,66,0.00044,0.4718810000000002
ligt,66,0.00044,0.4723210000000002
euro,65,0.000433,0.47275400000000023
snel,65,0.000433,0.47318700000000025
vind,65,0.000433,0.47362000000000026
vacature,65,0.000433,0.4740530000000003
samen,65,0.000433,0.4744860000000003
omdat,64,0.000427,0.4749130000000003
mogelijk,64,0.000427,0.4753400000000003
000,64,0.000427,0.47576700000000033
beter,64,0.000427,0.47619400000000034
word,64,0.000427,0.47662100000000035
partijen,63,0.00042,0.4770410000000003
nou,63,0.00042,0.4774610000000003
minder,63,0.00042,0.4778810000000003
dagen,63,0.00042,0.47830100000000025
bent,63,0.00042,0.47872100000000023
zij,63,0.00042,0.4791410000000002
staan,63,0.00042,0.4795610000000002
mm,63,0.00042,0.47998100000000016
jou,63,0.00042,0.48040100000000013
