,Datetime,Tweet Id,Text,Username,Url
0,2022-03-15 10:59:59+00:00,1503687449926676480,"20 jaar lang kernenergie verwaarloosd en 50 miljard geïnvesteerd in renewables. Grootste windmolenpark op zee!

Dat waren misschien niet de beste keuzes dan? En gascentrales gingen energiezekerheid en betaalbaarheid garanderen, toch?

Geef gewoon toe dat je fout was, Tinne.",dagwieers,https://twitter.com/dagwieers/status/1503687449926676480
1,2022-03-15 10:59:59+00:00,1503687448727072771,Belangrijke uitzending! Stem morgen #FVD!,DIPsocials,https://twitter.com/DIPsocials/status/1503687448727072771
2,2022-03-15 10:59:59+00:00,1503687448433291269,@fleurencity VV VALID !!! &lt;3,jiwnksn,https://twitter.com/jiwnksn/status/1503687448433291269
3,2022-03-15 10:59:58+00:00,1503687445333876739,bro aub laat mij met rust,sapphiiio,https://twitter.com/sapphiiio/status/1503687445333876739
4,2022-03-15 10:59:57+00:00,1503687438333464580,"In Brussels, Belgium 🇧🇪",cranepartyof3,https://twitter.com/cranepartyof3/status/1503687438333464580
5,2022-03-15 10:59:56+00:00,1503687437062656003,Ruim 600 miljoen euro uitgekeerd na schadeclaims Groningen https://t.co/I3aRryr35X https://t.co/AbvxbLZqa9,RTLZ,https://twitter.com/RTLZ/status/1503687437062656003
6,2022-03-15 10:59:56+00:00,1503687436618059776,namkook mis novios,tujk97,https://twitter.com/tujk97/status/1503687436618059776
7,2022-03-15 10:59:56+00:00,1503687436613959682,"Ik viel met sophie, noem t filosofie",FrenkieYonce,https://twitter.com/FrenkieYonce/status/1503687436613959682
8,2022-03-15 10:59:56+00:00,1503687435267489796,"Ja, boek ook binnen https://t.co/gm4wMBTiSX",MarjoVrij,https://twitter.com/MarjoVrij/status/1503687435267489796
9,2022-03-15 10:59:55+00:00,1503687430301388803,@LaMVNance Bv boss😂😂😂,chrisdck0,https://twitter.com/chrisdck0/status/1503687430301388803
