,Datetime,Tweet Id,Text,Username,Url
0,2022-08-10 10:59:59+00:00,1557320853775319040,"Twee extra camera's moeten buitenspelprobleem in Westerlo tijdelijk oplossen

https://t.co/pwVOC6C7Nn https://t.co/JhqW3lbFBb",sporza,https://twitter.com/sporza/status/1557320853775319040
1,2022-08-10 10:59:59+00:00,1557320852110286850,In Heavens Hotel Hoorn en Restaurant The Saint wanen gasten zich in een uniek en hedendaags design op historische bodem. ✨ Het interieur ademt de levendige stad met een rijke historie in de Gouden Eeuw. https://t.co/MndNa7xhGQ,EntreeMag,https://twitter.com/EntreeMag/status/1557320852110286850
2,2022-08-10 10:59:59+00:00,1557320850533224449,"Zij die zo graag filosofeerde over de dood was er zelf helemaal niet klaar voor. Ze was nog lang niet klaar met haar prachtige leven en kon zich moeilijk overgeven en hulp aanvaarden.
https://t.co/S69zdP4UeB",mensenlinq,https://twitter.com/mensenlinq/status/1557320850533224449
3,2022-08-10 10:59:56+00:00,1557320840680800259,"Precies. Zomergolfje (van een mild virus inmiddels) was een zomergolfje. En ook zonder maatregelen is er eerst een piekje, zodat daarna het virus weer grotendeels verdwijnt. #nooitmeermaatregelen #HetIsKlaar",hansvantelling,https://twitter.com/hansvantelling/status/1557320840680800259
4,2022-08-10 10:59:55+00:00,1557320837702852609,"Oef, het kan dus nog erger dan onze Belastingdienst....",FvRhijn,https://twitter.com/FvRhijn/status/1557320837702852609
5,2022-08-10 10:59:55+00:00,1557320837086253056,Schandalig dat die dieren met deze hitte op elkaar gepakt worden vervoerd. En wat goed dat Eyes on Animals dit laat zien!,hein_janssen,https://twitter.com/hein_janssen/status/1557320837086253056
6,2022-08-10 10:59:55+00:00,1557320835752402945,@Hinketink9 Wij hebben 5 kinderen,bibi_vanij,https://twitter.com/bibi_vanij/status/1557320835752402945
7,2022-08-10 10:59:55+00:00,1557320835215626240,"Morgen hebben we een etentje, in Frankrijk. Dus kocht ik een hoedje. Vroeger had ik zo’n bos haar dat ik weinig last had van de zon. Tegenwoordig lukt het minder goed om het hoofd koel te houden. 
En dus het kortste sprookje ooit:
Er waren eens wolken
Toen vond men de hoed
Uit. https://t.co/4mxJ4Ofxyi",theomeereboer,https://twitter.com/theomeereboer/status/1557320835215626240
8,2022-08-10 10:59:55+00:00,1557320834616012800,"""enhypen is irrelevant"" HAHHAHAHA nice joke",ur_ririiii,https://twitter.com/ur_ririiii/status/1557320834616012800
9,2022-08-10 10:59:55+00:00,1557320834355810304,"Mooi idee van Ad van Iterson voor de nieuwe woonfunctie van het monumentale V&amp;D pand in Maastricht.
https://t.co/bNVBuVFhNu https://t.co/NabwP6dEOO",PetraMeijers,https://twitter.com/PetraMeijers/status/1557320834355810304
10,2022-08-10 10:59:53+00:00,1557320826239721475,Dan maar zo... #TheDollarVigilante https://t.co/kRxEIG0Gm9,VanderVegt1973,https://twitter.com/VanderVegt1973/status/1557320826239721475
11,2022-08-10 10:59:52+00:00,1557320823186198530,I- 💀💀💀💀 MMMMMM HAHAHHAHAHAHAHAHAHHAHAVDHHDHFHEUJD 😭😭 https://t.co/V3mj7CjE3U,wellyeaiguess,https://twitter.com/wellyeaiguess/status/1557320823186198530
12,2022-08-10 10:59:52+00:00,1557320823106863105,NAUURRR BLUERE?!?!?,ilovecocoriki,https://twitter.com/ilovecocoriki/status/1557320823106863105
13,2022-08-10 10:59:51+00:00,1557320819575033856,Helemaal eens met Pam.,siavogel,https://twitter.com/siavogel/status/1557320819575033856
14,2022-08-10 10:59:49+00:00,1557320810624233473,"Lier 🤣

24 bolte toh maan lete",heistkid,https://twitter.com/heistkid/status/1557320810624233473
