,Datetime,Tweet Id,Text,Username,Url
0,2022-11-16 10:59:59+00:00,1592834862964436997,Chor Ki Daarhi Mein Tinka #GhariChor,Naiiima_,https://twitter.com/Naiiima_/status/1592834862964436997
1,2022-11-16 10:59:57+00:00,1592834854902960128,"@annatuenter @LeonieVestering @PartijvdDieren Nee. De feiten zijn dat we terug moeten in stikstof uitstoot.

Feit is ook dat onze sector reeds 70% gereduceerd heeft.

Feit is ook dat innovatie onderbelicht is en nu bewust in het verdomhoekje geduwd wordt om de wens van sommigen om de veestapel te verkleinen door te drukken.",stijnderks,https://twitter.com/stijnderks/status/1592834854902960128
2,2022-11-16 10:59:57+00:00,1592834853573382145,😳 gaat het zelfs bij de Duitsers mis?,FrankJa10243496,https://twitter.com/FrankJa10243496/status/1592834853573382145
3,2022-11-16 10:59:56+00:00,1592834852101160962,“je zou toch stoppen” NEEEJ!,witteanti933,https://twitter.com/witteanti933/status/1592834852101160962
4,2022-11-16 10:59:56+00:00,1592834850268250114,VOORVERKOOP | Verplichte voorverkoop voor supporters die met één van de bussen afreizen naar Kozakken Boys - Katwijk! Lees meer: https://t.co/Rxbieibjos,vvkatwijk,https://twitter.com/vvkatwijk/status/1592834850268250114
5,2022-11-16 10:59:55+00:00,1592834844513501184,"'Stomme lul,' zegt Gerhard",jhtsma,https://twitter.com/jhtsma/status/1592834844513501184
6,2022-11-16 10:59:54+00:00,1592834842122932224,#Kaag schreef onlangs“Verwerpelijke opruiing in een toch al onrustige en instabiele tijd. Moedwillig kapot willen maken wat door generaties zorgvuldig is opgebouwd. #D66 #Sjoerdsma #Biden #AndrzejDuda,JoannaSusanna,https://twitter.com/JoannaSusanna/status/1592834842122932224
7,2022-11-16 10:59:54+00:00,1592834841547972608,Het is bewolkt,ditland,https://twitter.com/ditland/status/1592834841547972608
8,2022-11-16 10:59:53+00:00,1592834837253017600,Oke maar waar is de correlatie??? Mf doen net alsof ze nooit om iemand gegeven hebben 😭😭 jullie cold heart mindset is niet stoer,Haitiangod420,https://twitter.com/Haitiangod420/status/1592834837253017600
9,2022-11-16 10:59:52+00:00,1592834835407851522,"#commissiedebat werkwijze, wie is de oorzaak van deze puinhoop? #TweedeKamer twee woorden: Vera en Bergkamp",wimwijn1,https://twitter.com/wimwijn1/status/1592834835407851522
10,2022-11-16 10:59:50+00:00,1592834826020982786,"@hansi2208 Ja maar...
Omdat er staat because.
Dan lijkt het een keuze..
Terwijl het eerder vanzelf gaat.
Tot je je er weer bewust van bent.",Kimmetje____,https://twitter.com/Kimmetje____/status/1592834826020982786
11,2022-11-16 10:59:50+00:00,1592834824590745601,"@Br12019 @Gerard1945X @JoostNiemoller Zo braaf en onschuldig is ook de oekraine niet, zo blijkt steeds weer",OrdeVanRode,https://twitter.com/OrdeVanRode/status/1592834824590745601
12,2022-11-16 10:59:49+00:00,1592834822220939265,Evokerrrr!! Wie gaat ie ‘m mainen deze expansion?,el33ta,https://twitter.com/el33ta/status/1592834822220939265
13,2022-11-16 10:59:47+00:00,1592834811689070592,"Hé een nieuwe feature van Twitter!
Dat is leuk :) #Verified https://t.co/QCxA5pulep",RoelantSiekman,https://twitter.com/RoelantSiekman/status/1592834811689070592
14,2022-11-16 10:59:46+00:00,1592834809725796352,Geweldig programma @avonturenvantim #Timmyland,detone95,https://twitter.com/detone95/status/1592834809725796352
15,2022-11-16 10:59:46+00:00,1592834807230525440,"Erg veel dieren niet aanwezig op deze lijst: insecten, vogels enz enz…..",TEGENDRAADS123,https://twitter.com/TEGENDRAADS123/status/1592834807230525440
16,2022-11-16 10:59:44+00:00,1592834800712552448,dits echt metro 54 man 😂😂😂😂😂,snapnadaa,https://twitter.com/snapnadaa/status/1592834800712552448
17,2022-11-16 10:59:44+00:00,1592834800343470082,De leugens van #SjoerdSjoerdsma #d66 . Over verbieden van politici gesproken….,mx5_nl,https://twitter.com/mx5_nl/status/1592834800343470082
18,2022-11-16 10:59:43+00:00,1592834797449404417,Is sokken over uw kousebroek dragen raar of normaal? I need to know!,XMileyX20,https://twitter.com/XMileyX20/status/1592834797449404417
19,2022-11-16 10:59:42+00:00,1592834793951330304,Helemaal mee eens 👍,PlepsART,https://twitter.com/PlepsART/status/1592834793951330304
20,2022-11-16 10:59:42+00:00,1592834792395255818,"@KaatvdK @2eKamertweets @MinPres Ik voel me juist bang met deze totalitaire overheid, kijk eens om je heen zou ik zeggen !",TamtamWappie,https://twitter.com/TamtamWappie/status/1592834792395255818
21,2022-11-16 10:59:42+00:00,1592834792340738048,"Jan Vertonghen sukkelde de laatste weken wel met kwaaltjes, maar bij de bond liet men nog niet verstaan dat hij twijfelachtig zou zijn.",PJCalcoen,https://twitter.com/PJCalcoen/status/1592834792340738048
22,2022-11-16 10:59:41+00:00,1592834786166738946,het hele EO Karskens verhaal is typisch en by design . Thijs is een Kerkrat die na Amerika reist om daar racisten te interviewen . Giovanca is de Token Van de EO . Die zegt nooit wat zinnigs. Die advocaat lulde uit z’n nek en niemand die hem corrigeerde .,virrriio,https://twitter.com/virrriio/status/1592834786166738946
23,2022-11-16 10:59:40+00:00,1592834784996347906,"🇳🇱🟠 Louis van Gaal is a serious man.

#Qatar2022 | #NothingLikeOranje",TheSportsman,https://twitter.com/TheSportsman/status/1592834784996347906
24,2022-11-16 10:59:40+00:00,1592834783276855296,"""Naar verluidt"".....",pimgunzel,https://twitter.com/pimgunzel/status/1592834783276855296
25,2022-11-16 10:59:38+00:00,1592834776293330946,"Pubermoeder schrijft boek over geld: ’Leer niet alleen sparen, maar ook uitgeven’ https://t.co/B6gajPDM8M #telegraafpremium via @Telegraaf",worlddivingnow,https://twitter.com/worlddivingnow/status/1592834776293330946
26,2022-11-16 10:59:38+00:00,1592834775915429888,"💬""Ook heb ik door heel veel inzet te tonen werk gevonden om een betere toekomst voor mij en mijn kinderen te creëren. Zonder de hulp van de begeleiders van ONSbank en het vertrouwen dat je kan hebben in ze, had ik het nooit gered.""
Lees je meer ervaringen https://t.co/mxm7ZA9uc7 https://t.co/nyZs4v0lGO",OnSbank,https://twitter.com/OnSbank/status/1592834775915429888
27,2022-11-16 10:59:37+00:00,1592834772170002437,Verhalen uit Groot-IJsselmuiden: Er valt wel een boek over te schrijven - Kasteel Buckhorst bij Zalk.  https://t.co/tDcgPMvYW5 https://t.co/XXhs1GzCpN,Brugnieuws,https://twitter.com/Brugnieuws/status/1592834772170002437
28,2022-11-16 10:59:36+00:00,1592834766847737857,Assimi Goïta de Valsero - Official Video - VRJmusic https://t.co/fxPvrZsZYH via @VRJmusic,VRJmusic,https://twitter.com/VRJmusic/status/1592834766847737857
29,2022-11-16 10:59:36+00:00,1592834766461882368,Zorgelijk. Het gesprek bij @Sven_op_1 zou gaan over cyberaanvallen. En wat hoor ik? Als #ElonMusk zich niet aan de regels houdt kan het zijn dat #Twitter in Europa niet meer welkom is. Denk daar eens over na. Zorg 🤬🤬🤬🤬 dat de eigen digitale veiligheid op orde is. @AvHuffelen,Lampje87,https://twitter.com/Lampje87/status/1592834766461882368
30,2022-11-16 10:59:36+00:00,1592834764771414017,"Tijdsbeperking instellen voor surfen en gamen https://t.co/Yr30eJxdvI

Het bericht Tijdsbeperking instellen voor surfen en gamen verscheen eerst op FAQman.",Computeridee,https://twitter.com/Computeridee/status/1592834764771414017
31,2022-11-16 10:59:35+00:00,1592834764108886017,"De laatste verkiezingen waren frauduleus in Berlijn en moeten worden over gedaan.

Saillant detail: door deze fraude is SPD grootste partij geworden in landelijke verkiezingen en zit de EU opgescheept met de meest woke regering in haar belangrijkste motor
#Duitsland #Verkiezingen",Entrepreneurix,https://twitter.com/Entrepreneurix/status/1592834764108886017
32,2022-11-16 10:59:34+00:00,1592834758517878785,"""Het FTX-verhaal lijkt echt opmerkelijk. Nadat het pas in 2017 werd opgericht, groeide het uit tot een ""partnerorganisatie"" van het World Economic Forum en de op 1 na grootste donor van de VS-president Biden en de Democraten bij de mid-term verkiezingen."" https://t.co/SACBN1jNnK",zeilem1,https://twitter.com/zeilem1/status/1592834758517878785
33,2022-11-16 10:59:34+00:00,1592834757150535683,Ik denk dat Paternotte met deze suggestie een stap te ver is gegaan. Let maar op.,Virgini05040734,https://twitter.com/Virgini05040734/status/1592834757150535683
